,job,length,course_name
525,25-9041,2 years,Teacher Assistant/Aide
526,19-4099,2 years,"Science Technologies/Technicians, Other"
527,19-4091,2 years,"Science Technologies/Technicians, Other"
528,49-9099,2 years,"Electrical/Electronics Equipment Installation and Repair, General"
529,49-3042,2 years,Heavy Equipment Maintenance Technology/Technician
530,19-2099,2 years,Natural Sciences
531,37-3012,2 years,Landscaping and Groundskeeping
532,39-2011,2 years,Equestrian/Equine Studies
533,33-1021,2 years,Fire Services Administration
534,53-2011,2 years,Airline/Commercial/Professional Pilot and Flight Crew
535,53-2012,2 years,Airline/Commercial/Professional Pilot and Flight Crew
536,17-3031,2 years,Surveying Technology/Surveying
537,51-5111,2 years,"Graphic Communications, General"
538,17-1022,2 years,Surveying Technology/Surveying
539,49-9062,2 years,Biomedical Technology/Technician
540,41-1012,2 years,Selling Skills and Sales Operations
541,19-4051,2 years,Nuclear/Nuclear Power Technology/Technician
542,49-3041,2 years,Agricultural Mechanics and Equipment/Machine Technology
543,49-3043,2 years,Heavy Equipment Maintenance Technology/Technician
544,41-9011,2 years,Retailing and Retail Operations
545,43-9031,2 years,Prepress/Desktop Publishing and Digital Imaging Design
546,51-8011,2 years,Nuclear/Nuclear Power Technology/Technician
547,19-4021,2 years,Biology Technician/Biotechnology Laboratory Technician
548,51-6092,2 years,Apparel and Textile Manufacture
549,49-9095,2 years,Building/Construction Site Management/Manager
550,19-4093,2 years,Forest Technology/Technician
551,29-2081,2 years,Opticianry/Ophthalmic Dispensing Optician
552,49-2091,2 years,Avionics Maintenance Technology/Technician
553,51-9081,2 years,Dental Laboratory Technology/Technician
554,53-2022,2 years,Air Traffic Controller
555,53-2021,2 years,Air Traffic Controller
556,17-3025,2 years,Environmental Engineering Technology/Environmental Technology
557,45-2041,2 years,Agricultural/Farm Supplies Retailing and Wholesaling
558,13-1021,2 years,Agricultural/Farm Supplies Retailing and Wholesaling
559,45-2091,2 years,Agricultural Power Machinery Operation
560,39-1021,2 years,Salon/Beauty Salon Management/Manager
561,51-4071,2 years,Ironworking/Ironworker
562,29-2092,2 years,Hearing Instrument Specialist
563,47-2011,2 years,Boilermaking/Boilermaker
564,21-1093,2 years,Developmental Services Worker
565,11-9071,2 years,Casino Management
566,39-1012,2 years,Casino Management
567,39-1011,2 years,Casino Management
568,41-9012,2 years,Fashion Modeling
569,47-5031,2 years,Blasting/Blaster
570,47-2042,2 years,"Carpet, Floor, and Tile Worker"
571,47-2043,2 years,"Carpet, Floor, and Tile Worker"
572,47-2041,2 years,"Carpet, Floor, and Tile Worker"
573,47-2053,2 years,"Carpet, Floor, and Tile Worker"
