Skill 1	Skill 2	Weight
Social Perceptiveness	Developing Objectives and Strategies	0.587692
Social Perceptiveness	Developing and Building Teams	0.627692
Social Perceptiveness	Documenting/Recording Information	0.630372
Social Perceptiveness	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.120000
Social Perceptiveness	Establishing and Maintaining Interpersonal Relationships	0.809231
Social Perceptiveness	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.359756
Social Perceptiveness	Evaluating Information to Determine Compliance with Standards	0.562310
Social Perceptiveness	Getting Information	0.710769
Social Perceptiveness	Guiding, Directing, and Motivating Subordinates	0.556923
Social Perceptiveness	Handling and Moving Objects	0.273239
Social Perceptiveness	Identifying Objects, Actions, and Events	0.643077
Social Perceptiveness	Inspecting Equipment, Structures, or Material	0.225543
Social Perceptiveness	Interacting With Computers	0.629851
Social Perceptiveness	Interpreting the Meaning of Information for Others	0.603077
Social Perceptiveness	Judging the Qualities of Things, Services, or People	0.591463
Social Perceptiveness	Making Decisions and Solving Problems	0.624615
Social Perceptiveness	Monitor Processes, Materials, or Surroundings	0.463636
Social Perceptiveness	Monitoring and Controlling Resources	0.476923
Social Perceptiveness	Operating Vehicles, Mechanized Devices, or Equipment	0.144615
Social Perceptiveness	Organizing, Planning, and Prioritizing Work	0.695385
Social Perceptiveness	Performing Administrative Activities	0.701538
Social Perceptiveness	Performing General Physical Activities	0.303371
Social Perceptiveness	Performing for or Working Directly with the Public	0.746356
Social Perceptiveness	Processing Information	0.600000
Social Perceptiveness	Provide Consultation and Advice to Others	0.547692
Social Perceptiveness	Repairing and Maintaining Electronic Equipment	0.150769
Social Perceptiveness	Repairing and Maintaining Mechanical Equipment	0.120000
Social Perceptiveness	Resolving Conflicts and Negotiating with Others	0.744615
Social Perceptiveness	Scheduling Work and Activities	0.621538
Social Perceptiveness	Selling or Influencing Others	0.575385
Social Perceptiveness	Staffing Organizational Units	0.538462
Social Perceptiveness	Thinking Creatively	0.560000
Social Perceptiveness	Training and Teaching Others	0.587692
Social Perceptiveness	Updating and Using Relevant Knowledge	0.664615
Speaking	Systems Analysis	0.538217
Speaking	Systems Evaluation	0.605096
Speaking	Technology Design	0.299363
Speaking	Time Management	0.776758
Speaking	Troubleshooting	0.127660
Speaking	Writing	0.872611
Speaking	Arm-Hand Steadiness	0.237745
Speaking	Auditory Attention	0.259146
Speaking	Category Flexibility	0.660870
Speaking	Control Precision	0.153005
Speaking	Deductive Reasoning	0.787975
Speaking	Depth Perception	0.163380
Speaking	Dynamic Flexibility	0.133758
Speaking	Dynamic Strength	0.194915
Speaking	Explosive Strength	0.156051
Speaking	Extent Flexibility	0.194366
Speaking	Far Vision	0.425982
Speaking	Finger Dexterity	0.256198
Speaking	Flexibility of Closure	0.458580
Speaking	Fluency of Ideas	0.773885
Speaking	Glare Sensitivity	0.156051
Speaking	Gross Body Coordination	0.220430
Speaking	Gross Body Equilibrium	0.193146
Speaking	Hearing Sensitivity	0.236364
Speaking	Inductive Reasoning	0.755486
Speaking	Information Ordering	0.605422
Speaking	Manual Dexterity	0.210127
Speaking	Mathematical Reasoning	0.598726
Speaking	Memorization	0.698171
Speaking	Multilimb Coordination	0.196382
Speaking	Near Vision	0.608280
Speaking	Night Vision	0.117834
Speaking	Number Facility	0.593651
Speaking	Oral Comprehension	0.819315
Speaking	Oral Expression	0.870769
Speaking	Originality	0.773585
Speaking	Perceptual Speed	0.353276
Speaking	Peripheral Vision	0.130573
Speaking	Problem Sensitivity	0.700000
Speaking	Rate Control	0.083851
Speaking	Reaction Time	0.122093
Speaking	Response Orientation	0.125731
Speaking	Selective Attention	0.417160
Speaking	Sound Localization	0.117834
Speaking	Spatial Orientation	0.159236
Speaking	Speech Clarity	0.821656
Speaking	Speech Recognition	0.767516
Speaking	Speed of Closure	0.566372
Speaking	Speed of Limb Movement	0.181034
Speaking	Stamina	0.220994
Speaking	Static Strength	0.199454
Speaking	Time Sharing	0.492625
Speaking	Trunk Strength	0.260054
Speaking	Visual Color Discrimination	0.262248
Speaking	Visualization	0.238095
Speaking	Wrist-Finger Speed	0.144543
Speaking	Written Comprehension	0.779817
Speaking	Written Expression	0.836991
Speaking	Administration and Management	0.643505
Speaking	Biology	0.302548
Speaking	Building and Construction	0.127389
Speaking	Chemistry	0.254777
Speaking	Clerical	0.729299
Speaking	Communications and Media	0.745223
Speaking	Computers and Electronics	0.687688
Speaking	Customer and Personal Service	0.676218
Speaking	Design	0.210191
Speaking	Economics and Accounting	0.547771
Speaking	Education and Training	0.579618
Speaking	Engineering and Technology	0.184713
Speaking	English Language	0.824451
Speaking	Fine Arts	0.363057
Speaking	Food Production	0.277070
Speaking	Foreign Language	0.592357
Speaking	Geography	0.474522
Speaking	History and Archeology	0.458599
Speaking	Law and Government	0.611465
Speaking	Mathematical Reasoning	0.560510
Speaking	Mechanical	0.107595
Speaking	Medicine and Dentistry	0.331210
Speaking	Personnel and Human Resources	0.595541
Speaking	Philosophy and Theology	0.557325
Speaking	Physics	0.197452
Speaking	Production and Processing	0.248408
Speaking	Psychology	0.636943
Speaking	Public Safety and Security	0.350610
Speaking	Sales and Marketing	0.605096
Speaking	Sociology and Anthropology	0.570064
Speaking	Telecommunications	0.410828
Speaking	Therapy and Counseling	0.452229
Speaking	Transportation	0.283439
Speaking	Analyzing Data or Information	0.643312
Speaking	Assisting and Caring for Others	0.544586
Speaking	Coaching and Developing Others	0.611465
Speaking	Communicating with Persons Outside Organization	0.747851
Speaking	Communicating with Supervisors, Peers, or Subordinates	0.761755
Speaking	Controlling Machines and Processes	0.085987
Speaking	Coordinating the Work and Activities of Others	0.594595
Speaking	Developing Objectives and Strategies	0.640127
Speaking	Developing and Building Teams	0.613707
Speaking	Documenting/Recording Information	0.656160
Speaking	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.146497
Speaking	Establishing and Maintaining Interpersonal Relationships	0.805031
Speaking	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.381098
Speaking	Evaluating Information to Determine Compliance with Standards	0.544073
Speaking	Getting Information	0.754658
Speaking	Guiding, Directing, and Motivating Subordinates	0.535032
Speaking	Handling and Moving Objects	0.202817
Speaking	Identifying Objects, Actions, and Events	0.634675
Speaking	Inspecting Equipment, Structures, or Material	0.168478
Speaking	Interacting With Computers	0.692537
Speaking	Interpreting the Meaning of Information for Others	0.697452
Speaking	Judging the Qualities of Things, Services, or People	0.600610
Speaking	Making Decisions and Solving Problems	0.676101
Speaking	Monitor Processes, Materials, or Surroundings	0.406061
Speaking	Monitoring and Controlling Resources	0.490446
Speaking	Operating Vehicles, Mechanized Devices, or Equipment	0.101911
Speaking	Organizing, Planning, and Prioritizing Work	0.748408
Speaking	Performing Administrative Activities	0.725552
Speaking	Performing General Physical Activities	0.210674
Speaking	Performing for or Working Directly with the Public	0.661808
Speaking	Processing Information	0.691083
Speaking	Provide Consultation and Advice to Others	0.617834
Speaking	Repairing and Maintaining Electronic Equipment	0.162420
Speaking	Repairing and Maintaining Mechanical Equipment	0.063694
Speaking	Resolving Conflicts and Negotiating with Others	0.694268
Speaking	Scheduling Work and Activities	0.650155
Speaking	Selling or Influencing Others	0.608280
Speaking	Staffing Organizational Units	0.547771
Speaking	Thinking Creatively	0.643312
Speaking	Training and Teaching Others	0.579618
Speaking	Updating and Using Relevant Knowledge	0.712074
Systems Analysis	Systems Evaluation	0.800000
Systems Analysis	Technology Design	0.501672
Systems Analysis	Time Management	0.519878
Systems Analysis	Troubleshooting	0.419453
Systems Analysis	Writing	0.604502
Systems Analysis	Arm-Hand Steadiness	0.311275
Systems Analysis	Auditory Attention	0.335366
Systems Analysis	Category Flexibility	0.466667
Systems Analysis	Control Precision	0.316940
Systems Analysis	Deductive Reasoning	0.563291
Systems Analysis	Depth Perception	0.312676
Systems Analysis	Dynamic Flexibility	0.217391
Systems Analysis	Dynamic Strength	0.257062
Systems Analysis	Explosive Strength	0.237458
Systems Analysis	Extent Flexibility	0.264789
Systems Analysis	Far Vision	0.347432
Systems Analysis	Finger Dexterity	0.322314
Systems Analysis	Flexibility of Closure	0.461538
Systems Analysis	Fluency of Ideas	0.612903
Systems Analysis	Glare Sensitivity	0.327759
Systems Analysis	Gross Body Coordination	0.260753
Systems Analysis	Gross Body Equilibrium	0.277259
Systems Analysis	Hearing Sensitivity	0.348485
Systems Analysis	Inductive Reasoning	0.526646
Systems Analysis	Information Ordering	0.451807
Systems Analysis	Manual Dexterity	0.303797
Systems Analysis	Mathematical Reasoning	0.638796
Systems Analysis	Memorization	0.533537
Systems Analysis	Multilimb Coordination	0.286822
Systems Analysis	Near Vision	0.364217
Systems Analysis	Night Vision	0.314381
Systems Analysis	Number Facility	0.619048
Systems Analysis	Oral Comprehension	0.501558
Systems Analysis	Oral Expression	0.516923
Systems Analysis	Originality	0.610063
Systems Analysis	Perceptual Speed	0.390313
Systems Analysis	Peripheral Vision	0.304348
Systems Analysis	Problem Sensitivity	0.478125
Systems Analysis	Rate Control	0.301242
Systems Analysis	Reaction Time	0.319767
Systems Analysis	Response Orientation	0.321637
Systems Analysis	Selective Attention	0.328402
Systems Analysis	Sound Localization	0.321070
Systems Analysis	Spatial Orientation	0.324415
Systems Analysis	Speech Clarity	0.468227
Systems Analysis	Speech Recognition	0.408027
Systems Analysis	Speed of Closure	0.501475
Systems Analysis	Speed of Limb Movement	0.267241
Systems Analysis	Stamina	0.270718
Systems Analysis	Static Strength	0.270492
Systems Analysis	Time Sharing	0.312684
Systems Analysis	Trunk Strength	0.252011
Systems Analysis	Visual Color Discrimination	0.377522
Systems Analysis	Visualization	0.389881
Systems Analysis	Wrist-Finger Speed	0.309735
Systems Analysis	Written Comprehension	0.587156
Systems Analysis	Written Expression	0.608150
Systems Analysis	Administration and Management	0.549849
Systems Analysis	Biology	0.317726
Systems Analysis	Building and Construction	0.367893
Systems Analysis	Chemistry	0.435216
Systems Analysis	Clerical	0.558528
Systems Analysis	Communications and Media	0.527508
Systems Analysis	Computers and Electronics	0.615616
Systems Analysis	Customer and Personal Service	0.435530
Systems Analysis	Design	0.448161
Systems Analysis	Economics and Accounting	0.501672
Systems Analysis	Education and Training	0.474916
Systems Analysis	Engineering and Technology	0.498328
Systems Analysis	English Language	0.561129
Systems Analysis	Fine Arts	0.217391
Systems Analysis	Food Production	0.244147
Systems Analysis	Foreign Language	0.418060
Systems Analysis	Geography	0.424749
Systems Analysis	History and Archeology	0.364548
Systems Analysis	Law and Government	0.543333
Systems Analysis	Mathematical Reasoning	0.578431
Systems Analysis	Mechanical	0.417722
Systems Analysis	Medicine and Dentistry	0.247492
Systems Analysis	Personnel and Human Resources	0.525084
Systems Analysis	Philosophy and Theology	0.367893
Systems Analysis	Physics	0.484950
Systems Analysis	Production and Processing	0.423567
Systems Analysis	Psychology	0.418060
Systems Analysis	Public Safety and Security	0.359756
Systems Analysis	Sales and Marketing	0.454839
Systems Analysis	Sociology and Anthropology	0.357860
Systems Analysis	Telecommunications	0.448161
Systems Analysis	Therapy and Counseling	0.290970
Systems Analysis	Transportation	0.347826
Systems Analysis	Analyzing Data or Information	0.635452
Systems Analysis	Assisting and Caring for Others	0.284281
Systems Analysis	Coaching and Developing Others	0.488294
Systems Analysis	Communicating with Persons Outside Organization	0.501433
Systems Analysis	Communicating with Supervisors, Peers, or Subordinates	0.532915
Systems Analysis	Controlling Machines and Processes	0.340764
Systems Analysis	Coordinating the Work and Activities of Others	0.489489
Systems Analysis	Developing Objectives and Strategies	0.581940
Systems Analysis	Developing and Building Teams	0.492212
Systems Analysis	Documenting/Recording Information	0.555874
Systems Analysis	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.434783
Systems Analysis	Establishing and Maintaining Interpersonal Relationships	0.424528
Systems Analysis	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.496951
Systems Analysis	Evaluating Information to Determine Compliance with Standards	0.510638
Systems Analysis	Getting Information	0.521739
Systems Analysis	Guiding, Directing, and Motivating Subordinates	0.523179
Systems Analysis	Handling and Moving Objects	0.261972
Systems Analysis	Identifying Objects, Actions, and Events	0.467492
Systems Analysis	Inspecting Equipment, Structures, or Material	0.369565
Systems Analysis	Interacting With Computers	0.617910
Systems Analysis	Interpreting the Meaning of Information for Others	0.581940
Systems Analysis	Judging the Qualities of Things, Services, or People	0.463415
Systems Analysis	Making Decisions and Solving Problems	0.534591
Systems Analysis	Monitor Processes, Materials, or Surroundings	0.396970
Systems Analysis	Monitoring and Controlling Resources	0.541806
Systems Analysis	Operating Vehicles, Mechanized Devices, or Equipment	0.290970
Systems Analysis	Organizing, Planning, and Prioritizing Work	0.532468
Systems Analysis	Performing Administrative Activities	0.539432
Systems Analysis	Performing General Physical Activities	0.266854
Systems Analysis	Performing for or Working Directly with the Public	0.355685
Systems Analysis	Processing Information	0.579805
Systems Analysis	Provide Consultation and Advice to Others	0.615385
Systems Analysis	Repairing and Maintaining Electronic Equipment	0.404682
Systems Analysis	Repairing and Maintaining Mechanical Equipment	0.331104
Systems Analysis	Resolving Conflicts and Negotiating with Others	0.460784
Systems Analysis	Scheduling Work and Activities	0.544892
Systems Analysis	Selling or Influencing Others	0.488294
Systems Analysis	Staffing Organizational Units	0.528428
Systems Analysis	Thinking Creatively	0.545151
Systems Analysis	Training and Teaching Others	0.470199
Systems Analysis	Updating and Using Relevant Knowledge	0.544892
Systems Evaluation	Technology Design	0.476667
Systems Evaluation	Time Management	0.590214
Systems Evaluation	Troubleshooting	0.340426
Systems Evaluation	Writing	0.675241
Systems Evaluation	Arm-Hand Steadiness	0.247549
Systems Evaluation	Auditory Attention	0.289634
Systems Evaluation	Category Flexibility	0.492754
Systems Evaluation	Control Precision	0.243169
Systems Evaluation	Deductive Reasoning	0.613924
Systems Evaluation	Depth Perception	0.245070
Systems Evaluation	Dynamic Flexibility	0.156667
Systems Evaluation	Dynamic Strength	0.203390
Systems Evaluation	Explosive Strength	0.203333
Systems Evaluation	Extent Flexibility	0.202817
Systems Evaluation	Far Vision	0.314199
Systems Evaluation	Finger Dexterity	0.256198
Systems Evaluation	Flexibility of Closure	0.423077
Systems Evaluation	Fluency of Ideas	0.690323
Systems Evaluation	Glare Sensitivity	0.253333
Systems Evaluation	Gross Body Coordination	0.215054
Systems Evaluation	Gross Body Equilibrium	0.208723
Systems Evaluation	Hearing Sensitivity	0.278788
Systems Evaluation	Inductive Reasoning	0.583072
Systems Evaluation	Information Ordering	0.439759
Systems Evaluation	Manual Dexterity	0.237975
Systems Evaluation	Mathematical Reasoning	0.656667
Systems Evaluation	Memorization	0.567073
Systems Evaluation	Multilimb Coordination	0.232558
Systems Evaluation	Near Vision	0.380192
Systems Evaluation	Night Vision	0.246667
Systems Evaluation	Number Facility	0.606349
Systems Evaluation	Oral Comprehension	0.542056
Systems Evaluation	Oral Expression	0.572308
Systems Evaluation	Originality	0.685535
Systems Evaluation	Perceptual Speed	0.327635
Systems Evaluation	Peripheral Vision	0.240000
Systems Evaluation	Problem Sensitivity	0.500000
Systems Evaluation	Rate Control	0.220497
Systems Evaluation	Reaction Time	0.241279
Systems Evaluation	Response Orientation	0.248538
Systems Evaluation	Selective Attention	0.275148
Systems Evaluation	Sound Localization	0.253333
Systems Evaluation	Spatial Orientation	0.266667
Systems Evaluation	Speech Clarity	0.520000
Systems Evaluation	Speech Recognition	0.476667
Systems Evaluation	Speed of Closure	0.510324
Systems Evaluation	Speed of Limb Movement	0.218391
Systems Evaluation	Stamina	0.215470
Systems Evaluation	Static Strength	0.213115
Systems Evaluation	Time Sharing	0.324484
Systems Evaluation	Trunk Strength	0.209115
Systems Evaluation	Visual Color Discrimination	0.317003
Systems Evaluation	Visualization	0.345238
Systems Evaluation	Wrist-Finger Speed	0.238938
Systems Evaluation	Written Comprehension	0.623853
Systems Evaluation	Written Expression	0.680251
Systems Evaluation	Administration and Management	0.595166
Systems Evaluation	Biology	0.340000
Systems Evaluation	Building and Construction	0.330000
Systems Evaluation	Chemistry	0.401993
Systems Evaluation	Clerical	0.613333
Systems Evaluation	Communications and Media	0.592233
Systems Evaluation	Computers and Electronics	0.639640
Systems Evaluation	Customer and Personal Service	0.487106
Systems Evaluation	Design	0.413333
Systems Evaluation	Economics and Accounting	0.533333
Systems Evaluation	Education and Training	0.543333
Systems Evaluation	Engineering and Technology	0.436667
Systems Evaluation	English Language	0.611285
Systems Evaluation	Fine Arts	0.266667
Systems Evaluation	Food Production	0.253333
Systems Evaluation	Foreign Language	0.470000
Systems Evaluation	Geography	0.463333
Systems Evaluation	History and Archeology	0.416667
Systems Evaluation	Law and Government	0.570000
Systems Evaluation	Mathematical Reasoning	0.594771
Systems Evaluation	Mechanical	0.335443
Systems Evaluation	Medicine and Dentistry	0.260000
Systems Evaluation	Personnel and Human Resources	0.586667
Systems Evaluation	Philosophy and Theology	0.430000
Systems Evaluation	Physics	0.440000
Systems Evaluation	Production and Processing	0.378981
Systems Evaluation	Psychology	0.510000
Systems Evaluation	Public Safety and Security	0.353659
Systems Evaluation	Sales and Marketing	0.509677
Systems Evaluation	Sociology and Anthropology	0.440000
Systems Evaluation	Telecommunications	0.436667
Systems Evaluation	Therapy and Counseling	0.353333
Systems Evaluation	Transportation	0.310000
Systems Evaluation	Analyzing Data or Information	0.673333
Systems Evaluation	Assisting and Caring for Others	0.330000
Systems Evaluation	Coaching and Developing Others	0.566667
Systems Evaluation	Communicating with Persons Outside Organization	0.587393
Systems Evaluation	Communicating with Supervisors, Peers, or Subordinates	0.573668
Systems Evaluation	Controlling Machines and Processes	0.251592
Systems Evaluation	Coordinating the Work and Activities of Others	0.540541
Systems Evaluation	Developing Objectives and Strategies	0.656667
Systems Evaluation	Developing and Building Teams	0.570093
Systems Evaluation	Documenting/Recording Information	0.581662
Systems Evaluation	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.393333
Systems Evaluation	Establishing and Maintaining Interpersonal Relationships	0.506289
Systems Evaluation	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.442073
Systems Evaluation	Evaluating Information to Determine Compliance with Standards	0.516717
Systems Evaluation	Getting Information	0.552795
Systems Evaluation	Guiding, Directing, and Motivating Subordinates	0.609272
Systems Evaluation	Handling and Moving Objects	0.191549
Systems Evaluation	Identifying Objects, Actions, and Events	0.476780
Systems Evaluation	Inspecting Equipment, Structures, or Material	0.307065
Systems Evaluation	Interacting With Computers	0.647761
Systems Evaluation	Interpreting the Meaning of Information for Others	0.636667
Systems Evaluation	Judging the Qualities of Things, Services, or People	0.512195
Systems Evaluation	Making Decisions and Solving Problems	0.603774
Systems Evaluation	Monitor Processes, Materials, or Surroundings	0.351515
Systems Evaluation	Monitoring and Controlling Resources	0.580000
Systems Evaluation	Operating Vehicles, Mechanized Devices, or Equipment	0.230000
Systems Evaluation	Organizing, Planning, and Prioritizing Work	0.607143
Systems Evaluation	Performing Administrative Activities	0.627760
Systems Evaluation	Performing General Physical Activities	0.207865
Systems Evaluation	Performing for or Working Directly with the Public	0.451895
Systems Evaluation	Processing Information	0.602606
Systems Evaluation	Provide Consultation and Advice to Others	0.690000
Systems Evaluation	Repairing and Maintaining Electronic Equipment	0.353333
Systems Evaluation	Repairing and Maintaining Mechanical Equipment	0.246667
Systems Evaluation	Resolving Conflicts and Negotiating with Others	0.584967
Systems Evaluation	Scheduling Work and Activities	0.625387
Systems Evaluation	Selling or Influencing Others	0.580000
Systems Evaluation	Staffing Organizational Units	0.586667
Systems Evaluation	Thinking Creatively	0.623333
Systems Evaluation	Training and Teaching Others	0.536424
Systems Evaluation	Updating and Using Relevant Knowledge	0.603715
Technology Design	Time Management	0.330275
Technology Design	Troubleshooting	0.598784
Technology Design	Writing	0.363344
Technology Design	Arm-Hand Steadiness	0.482843
Technology Design	Auditory Attention	0.439024
Technology Design	Category Flexibility	0.385507
Technology Design	Control Precision	0.500000
Technology Design	Deductive Reasoning	0.351266
Technology Design	Depth Perception	0.484507
Technology Design	Dynamic Flexibility	0.432056
Technology Design	Dynamic Strength	0.437853
Technology Design	Explosive Strength	0.404181
Technology Design	Extent Flexibility	0.430986
Technology Design	Far Vision	0.377644
Technology Design	Finger Dexterity	0.517906
Technology Design	Flexibility of Closure	0.434911
Technology Design	Fluency of Ideas	0.396774
Technology Design	Glare Sensitivity	0.447099
Technology Design	Gross Body Coordination	0.424731
Technology Design	Gross Body Equilibrium	0.423676
Technology Design	Hearing Sensitivity	0.478788
Technology Design	Inductive Reasoning	0.354232
Technology Design	Information Ordering	0.421687
Technology Design	Manual Dexterity	0.483544
Technology Design	Mathematical Reasoning	0.456446
Technology Design	Memorization	0.362805
Technology Design	Multilimb Coordination	0.462532
Technology Design	Near Vision	0.351438
Technology Design	Night Vision	0.439024
Technology Design	Number Facility	0.453968
Technology Design	Oral Comprehension	0.311526
Technology Design	Oral Expression	0.292308
Technology Design	Originality	0.421384
Technology Design	Perceptual Speed	0.433048
Technology Design	Peripheral Vision	0.414634
Technology Design	Problem Sensitivity	0.318750
Technology Design	Rate Control	0.481366
Technology Design	Reaction Time	0.465116
Technology Design	Response Orientation	0.479532
Technology Design	Selective Attention	0.408284
Technology Design	Sound Localization	0.435540
Technology Design	Spatial Orientation	0.450512
Technology Design	Speech Clarity	0.233108
Technology Design	Speech Recognition	0.233449
Technology Design	Speed of Closure	0.377581
Technology Design	Speed of Limb Movement	0.425287
Technology Design	Stamina	0.408840
Technology Design	Static Strength	0.445355
Technology Design	Time Sharing	0.306785
Technology Design	Trunk Strength	0.415550
Technology Design	Visual Color Discrimination	0.510086
Technology Design	Visualization	0.586310
Technology Design	Wrist-Finger Speed	0.510324
Technology Design	Written Comprehension	0.388379
Technology Design	Written Expression	0.351097
Technology Design	Administration and Management	0.344411
Technology Design	Biology	0.296167
Technology Design	Building and Construction	0.505226
Technology Design	Chemistry	0.534884
Technology Design	Clerical	0.319865
Technology Design	Communications and Media	0.362460
Technology Design	Computers and Electronics	0.459459
Technology Design	Customer and Personal Service	0.295129
Technology Design	Design	0.665505
Technology Design	Economics and Accounting	0.296167
Technology Design	Education and Training	0.324042
Technology Design	Engineering and Technology	0.668919
Technology Design	English Language	0.332288
Technology Design	Fine Arts	0.247387
Technology Design	Food Production	0.181185
Technology Design	Foreign Language	0.305842
Technology Design	Geography	0.320557
Technology Design	History and Archeology	0.257840
Technology Design	Law and Government	0.290000
Technology Design	Mathematical Reasoning	0.441176
Technology Design	Mechanical	0.582278
Technology Design	Medicine and Dentistry	0.243902
Technology Design	Personnel and Human Resources	0.299652
Technology Design	Philosophy and Theology	0.243902
Technology Design	Physics	0.620209
Technology Design	Production and Processing	0.538217
Technology Design	Psychology	0.250871
Technology Design	Public Safety and Security	0.341463
Technology Design	Sales and Marketing	0.390323
Technology Design	Sociology and Anthropology	0.236934
Technology Design	Telecommunications	0.393728
Technology Design	Therapy and Counseling	0.216028
Technology Design	Transportation	0.362369
Technology Design	Analyzing Data or Information	0.420690
Technology Design	Assisting and Caring for Others	0.243902
Technology Design	Coaching and Developing Others	0.334471
Technology Design	Communicating with Persons Outside Organization	0.340974
Technology Design	Communicating with Supervisors, Peers, or Subordinates	0.313480
Technology Design	Controlling Machines and Processes	0.528662
Technology Design	Coordinating the Work and Activities of Others	0.378378
Technology Design	Developing Objectives and Strategies	0.411565
Technology Design	Developing and Building Teams	0.364486
Technology Design	Documenting/Recording Information	0.389685
Technology Design	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.679443
Technology Design	Establishing and Maintaining Interpersonal Relationships	0.235849
Technology Design	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.469512
Technology Design	Evaluating Information to Determine Compliance with Standards	0.379939
Technology Design	Getting Information	0.301242
Technology Design	Guiding, Directing, and Motivating Subordinates	0.380795
Technology Design	Handling and Moving Objects	0.461972
Technology Design	Identifying Objects, Actions, and Events	0.315789
Technology Design	Inspecting Equipment, Structures, or Material	0.508152
Technology Design	Interacting With Computers	0.423881
Technology Design	Interpreting the Meaning of Information for Others	0.379310
Technology Design	Judging the Qualities of Things, Services, or People	0.347561
Technology Design	Making Decisions and Solving Problems	0.405660
Technology Design	Monitor Processes, Materials, or Surroundings	0.418182
Technology Design	Monitoring and Controlling Resources	0.422680
Technology Design	Operating Vehicles, Mechanized Devices, or Equipment	0.445993
Technology Design	Organizing, Planning, and Prioritizing Work	0.357143
Technology Design	Performing Administrative Activities	0.328076
Technology Design	Performing General Physical Activities	0.412921
Technology Design	Performing for or Working Directly with the Public	0.282799
Technology Design	Processing Information	0.371336
Technology Design	Provide Consultation and Advice to Others	0.423611
Technology Design	Repairing and Maintaining Electronic Equipment	0.599303
Technology Design	Repairing and Maintaining Mechanical Equipment	0.545151
Technology Design	Resolving Conflicts and Negotiating with Others	0.254902
Technology Design	Scheduling Work and Activities	0.380805
Technology Design	Selling or Influencing Others	0.372014
Technology Design	Staffing Organizational Units	0.337979
Technology Design	Thinking Creatively	0.501706
Technology Design	Training and Teaching Others	0.367550
Technology Design	Updating and Using Relevant Knowledge	0.458204
Time Management	Troubleshooting	0.227964
Time Management	Writing	0.761468
Time Management	Arm-Hand Steadiness	0.291667
Time Management	Auditory Attention	0.310976
Time Management	Category Flexibility	0.663768
Time Management	Control Precision	0.243169
Time Management	Deductive Reasoning	0.733945
Time Management	Depth Perception	0.225352
Time Management	Dynamic Flexibility	0.195719
Time Management	Dynamic Strength	0.262712
Time Management	Explosive Strength	0.180428
Time Management	Extent Flexibility	0.261972
Time Management	Far Vision	0.453172
Time Management	Finger Dexterity	0.314050
Time Management	Flexibility of Closure	0.482249
Time Management	Fluency of Ideas	0.727829
Time Management	Glare Sensitivity	0.174312
Time Management	Gross Body Coordination	0.290323
Time Management	Gross Body Equilibrium	0.241590
Time Management	Hearing Sensitivity	0.300000
Time Management	Inductive Reasoning	0.697248
Time Management	Information Ordering	0.641566
Time Management	Manual Dexterity	0.281013
Time Management	Mathematical Reasoning	0.550459
Time Management	Memorization	0.643293
Time Management	Multilimb Coordination	0.260982
Time Management	Near Vision	0.599388
Time Management	Night Vision	0.149847
Time Management	Number Facility	0.574924
Time Management	Oral Comprehension	0.749235
Time Management	Oral Expression	0.773700
Time Management	Originality	0.749235
Time Management	Perceptual Speed	0.396011
Time Management	Peripheral Vision	0.152905
Time Management	Problem Sensitivity	0.657492
Time Management	Rate Control	0.189602
Time Management	Reaction Time	0.212209
Time Management	Response Orientation	0.222222
Time Management	Selective Attention	0.443787
Time Management	Sound Localization	0.140673
Time Management	Spatial Orientation	0.183486
Time Management	Speech Clarity	0.721713
Time Management	Speech Recognition	0.685015
Time Management	Speed of Closure	0.545723
Time Management	Speed of Limb Movement	0.250000
Time Management	Stamina	0.290055
Time Management	Static Strength	0.275956
Time Management	Time Sharing	0.525074
Time Management	Trunk Strength	0.316354
Time Management	Visual Color Discrimination	0.308357
Time Management	Visualization	0.333333
Time Management	Wrist-Finger Speed	0.250737
Time Management	Written Comprehension	0.730887
Time Management	Written Expression	0.764526
Time Management	Administration and Management	0.667674
Time Management	Biology	0.293578
Time Management	Building and Construction	0.183486
Time Management	Chemistry	0.287462
Time Management	Clerical	0.657492
Time Management	Communications and Media	0.681957
Time Management	Computers and Electronics	0.642643
Time Management	Customer and Personal Service	0.644699
Time Management	Design	0.266055
Time Management	Economics and Accounting	0.535168
Time Management	Education and Training	0.553517
Time Management	Engineering and Technology	0.214067
Time Management	English Language	0.721713
Time Management	Fine Arts	0.373089
Time Management	Food Production	0.269113
Time Management	Foreign Language	0.532110
Time Management	Geography	0.415902
Time Management	History and Archeology	0.431193
Time Management	Law and Government	0.553517
Time Management	Mathematical Reasoning	0.522936
Time Management	Mechanical	0.204893
Time Management	Medicine and Dentistry	0.314985
Time Management	Personnel and Human Resources	0.584098
Time Management	Philosophy and Theology	0.516820
