O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
19-4099.03	3.A.2	On-Site or In-Plant Training	PT	6	0.00	29	0.00	n/a	n/a	N	07/2012	Incumbent
19-4099.03	3.A.2	On-Site or In-Plant Training	PT	7	0.00	29	0.00	n/a	n/a	N	07/2012	Incumbent
19-4099.03	3.A.2	On-Site or In-Plant Training	PT	8	2.12	29	2.16	0.26	15.46	N	07/2012	Incumbent
19-4099.03	3.A.2	On-Site or In-Plant Training	PT	9	0.00	29	0.00	n/a	n/a	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	1	0.00	29	0.00	n/a	n/a	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	2	14.32	29	6.89	5.03	34.56	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	3	9.87	29	4.31	3.90	22.82	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	4	37.95	29	10.98	19.04	61.39	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	5	29.56	29	8.20	15.78	48.45	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	6	6.18	29	6.63	0.63	40.70	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	7	0.00	29	0.00	n/a	n/a	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	8	2.12	29	2.16	0.26	15.46	N	07/2012	Incumbent
19-4099.03	3.A.3	On-the-Job Training	OJ	9	0.00	29	0.00	n/a	n/a	N	07/2012	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	1	0.00	41	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	2	1.38	41	1.41	0.17	10.19	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	3	1.88	41	1.90	0.24	13.36	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	4	7.12	41	6.11	1.17	33.16	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	5	13.85	41	9.38	3.18	44.06	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	6	19.36	41	7.40	8.43	38.50	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	7	6.15	41	3.89	1.65	20.37	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	8	30.17	41	9.88	14.34	52.71	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	9	1.95	41	2.00	0.24	14.09	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	10	15.94	41	7.57	5.71	37.25	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	11	2.18	41	1.65	0.46	9.63	N	07/2014	Incumbent
21-1011.00	2.D.1	Required Level of Education	RL	12	0.00	41	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	1	5.21	40	3.78	1.15	20.54	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	2	0.00	40	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	3	0.00	40	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	4	0.00	40	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	5	18.00	40	7.39	7.39	37.65	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	6	24.50	40	10.12	9.69	49.54	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	7	38.89	40	9.36	22.29	58.54	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	8	8.26	40	5.16	2.22	26.31	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	9	3.36	40	3.37	0.43	22.05	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	10	1.78	40	1.52	0.31	9.50	N	07/2014	Incumbent
21-1011.00	3.A.1	Related Work Experience	RW	11	0.00	40	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	1	5.27	40	3.79	1.18	20.51	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	2	19.06	40	7.37	8.23	38.23	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	3	13.68	40	8.24	3.72	39.40	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	4	11.55	40	6.46	3.51	31.92	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	5	12.77	40	5.27	5.32	27.59	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	6	12.55	40	6.98	3.81	34.21	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	7	25.11	40	6.55	14.21	40.42	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	40	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	40	0.00	n/a	n/a	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	1	5.27	40	3.79	1.18	20.51	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	2	11.40	40	6.61	3.31	32.58	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	3	17.87	40	9.80	5.34	45.66	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	4	8.45	40	4.56	2.72	23.32	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	5	20.52	40	12.94	4.93	56.22	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	6	12.07	40	6.96	3.52	34.07	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	7	20.23	40	9.42	7.22	45.22	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	8	4.20	40	4.43	0.47	28.89	N	07/2014	Incumbent
21-1011.00	3.A.3	On-the-Job Training	OJ	9	0.00	40	0.00	n/a	n/a	N	07/2014	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	1	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	2	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	3	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	4	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	5	0.42	38	0.44	0.05	3.38	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	6	2.26	38	2.17	0.31	14.50	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	7	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	8	93.16	38	3.63	81.10	97.74	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	9	3.69	38	2.94	0.71	17.02	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	10	0.47	38	0.40	0.08	2.60	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	11	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	2.D.1	Required Level of Education	RL	12	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	1	19.16	38	11.47	5.03	51.51	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	2	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	3	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	4	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	5	0.18	38	0.13	0.04	0.82	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	6	26.18	38	12.37	8.84	56.49	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	7	32.53	38	13.04	12.64	61.65	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	8	9.17	38	6.45	2.06	32.66	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	9	12.78	38	10.99	1.95	51.93	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	10	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	3.A.1	Related Work Experience	RW	11	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	1	26.57	38	13.91	7.86	60.54	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	2	6.46	38	4.72	1.40	25.16	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	3	21.87	38	12.14	6.22	54.14	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	4	17.31	38	9.05	5.49	42.99	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	5	0.79	38	0.63	0.15	3.93	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	6	11.51	38	6.99	3.14	34.31	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	7	0.32	38	0.25	0.06	1.55	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	8	15.17	38	11.07	3.03	50.54	N	06/2010	Incumbent
21-1012.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	38	0.00	n/a	n/a	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	1	22.77	38	13.50	5.86	58.27	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	2	2.25	38	2.17	0.31	14.50	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	3	11.68	38	8.60	2.38	41.73	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	4	5.90	38	3.45	1.74	18.11	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	5	23.01	38	11.62	7.33	53.02	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	6	21.74	38	12.03	6.22	53.77	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	7	12.06	38	8.74	2.52	42.14	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	8	0.48	38	0.40	0.09	2.59	N	06/2010	Incumbent
21-1012.00	3.A.3	On-the-Job Training	OJ	9	0.11	38	0.12	0.01	0.92	N	06/2010	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	1	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	2	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	3	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	4	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	5	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	6	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	7	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	8	59.73	19	24.04	15.37	92.37	Y	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	9	38.32	19	24.09	6.80	84.09	Y	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	10	1.96	19	1.92	0.24	14.08	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	11	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	2.D.1	Required Level of Education	RL	12	0.00	19	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	1	19.79	20	11.57	5.10	53.14	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	2	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	3	0.42	20	0.43	0.05	3.54	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	4	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	5	8.60	20	6.76	1.53	36.25	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	6	12.98	20	11.77	1.66	56.90	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	7	39.96	20	12.79	17.91	67.01	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	8	18.24	20	10.96	4.57	50.96	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	9	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	10	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.1	Related Work Experience	RW	11	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	1	29.28	20	19.79	5.30	75.38	Y	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	2	30.36	20	15.36	8.70	66.59	N	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	3	1.94	20	1.90	0.24	13.85	N	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	4	0.42	20	0.43	0.05	3.54	N	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	5	0.42	20	0.43	0.05	3.54	N	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	6	37.58	20	24.16	6.52	83.87	Y	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	1	18.30	20	10.70	4.77	50.06	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	2	9.63	20	6.72	2.07	34.93	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	3	14.86	20	11.71	2.45	54.79	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	4	13.40	20	11.75	1.83	56.30	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	5	2.36	20	1.95	0.41	12.47	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	6	24.60	20	14.59	5.91	62.87	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	7	16.85	20	15.99	1.82	68.84	Y	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	8	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1013.00	3.A.3	On-the-Job Training	OJ	9	0.00	20	0.00	n/a	n/a	N	07/2012	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	1	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	2	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	3	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	4	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	5	1.48	33	1.52	0.18	11.14	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	6	34.29	33	13.49	13.36	63.86	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	7	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	8	62.16	33	13.60	33.59	84.22	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	9	1.42	33	1.18	0.26	7.40	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	10	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	11	0.65	33	0.67	0.08	5.16	N	07/2013	Incumbent
21-1014.00	2.D.1	Required Level of Education	RL	12	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	1	2.81	33	2.08	0.61	12.01	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	2	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	3	12.78	33	9.75	2.41	46.52	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	4	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	5	5.17	33	3.07	1.50	16.32	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	6	32.65	33	9.90	16.23	54.81	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	7	36.41	33	12.86	15.59	63.98	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	8	9.53	33	7.35	1.82	37.40	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	9	0.65	33	0.67	0.08	5.16	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	10	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.1	Related Work Experience	RW	11	0.00	33	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	1	17.51	32	10.30	4.72	47.63	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	2	39.71	32	14.15	16.48	68.74	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	3	9.83	32	5.09	3.27	26.03	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	4	9.55	32	5.15	3.03	26.26	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	5	13.00	32	7.45	3.75	36.42	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	6	0.00	32	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	7	10.40	32	7.40	2.25	36.95	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	32	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	32	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	1	5.72	32	4.11	1.27	22.30	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	2	20.29	32	11.44	5.67	51.87	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	3	19.67	32	10.24	6.13	47.86	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	4	35.32	32	11.62	16.21	60.64	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	5	14.53	32	7.65	4.62	37.39	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	6	4.04	32	3.90	0.54	24.67	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	7	0.44	32	0.46	0.05	3.57	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	8	0.00	32	0.00	n/a	n/a	N	07/2013	Incumbent
21-1014.00	3.A.3	On-the-Job Training	OJ	9	0.00	32	0.00	n/a	n/a	N	07/2013	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	1	5.75	36	5.64	0.73	33.51	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	2	13.84	36	8.10	3.89	38.94	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	3	0.00	36	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	4	0.00	36	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	5	3.75	36	3.01	0.71	17.49	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	6	26.26	36	10.42	10.67	51.50	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	7	0.00	36	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	8	49.25	36	15.86	21.12	77.87	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	9	0.00	36	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	10	0.00	36	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	11	0.00	36	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	2.D.1	Required Level of Education	RL	12	1.15	36	1.18	0.14	8.67	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	1	7.31	35	7.71	0.78	44.30	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	2	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	3	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	4	0.29	35	0.30	0.04	2.34	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	5	27.33	35	14.83	7.62	63.16	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	6	34.92	35	7.99	20.80	52.29	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	7	15.68	35	5.73	7.16	30.97	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	8	7.44	35	6.71	1.10	36.81	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	9	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	10	7.02	35	6.71	0.92	37.88	N	07/2012	Incumbent
21-1015.00	3.A.1	Related Work Experience	RW	11	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	1	1.27	35	0.82	0.34	4.61	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	2	20.74	35	8.25	8.62	42.06	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	3	30.58	35	13.80	10.52	62.28	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	4	27.28	35	13.38	8.70	59.63	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	5	14.32	35	8.93	3.67	42.30	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	6	5.81	35	5.69	0.74	33.84	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	1	0.71	35	0.53	0.16	3.21	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	2	9.02	35	6.80	1.81	34.78	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	3	43.51	35	12.73	21.19	68.81	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	4	17.85	35	4.52	10.41	28.90	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	5	25.27	35	12.95	7.74	57.69	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	6	3.63	35	3.02	0.65	17.86	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	7	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	8	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1015.00	3.A.3	On-the-Job Training	OJ	9	0.00	35	0.00	n/a	n/a	N	07/2012	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	1	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	2	0.14	30	0.15	0.01	1.24	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	3	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	4	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	5	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	6	61.94	30	19.58	22.95	89.90	Y	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	7	1.51	30	1.25	0.27	7.89	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	8	36.41	30	19.40	9.35	76.07	Y	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	9	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	10	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	11	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	2.D.1	Required Level of Education	RL	12	0.00	30	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	3.A.1	Related Work Experience	RW	1	25.65	29	6.80	14.26	41.72	N	06/2009	Incumbent
21-1021.00	3.A.1	Related Work Experience	RW	2	0.00	29	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	3.A.1	Related Work Experience	RW	3	0.00	29	0.00	n/a	n/a	N	06/2009	Incumbent
21-1021.00	3.A.1	Related Work Experience	RW	4	4.86	29	4.97	0.56	31.55	N	06/2009	Incumbent
21-1021.00	3.A.1	Related Work Experience	RW	5	0.93	29	1.00	0.10	8.00	N	06/2009	Incumbent
21-1021.00	3.A.1	Related Work Experience	RW	6	35.45	29	6.63	23.27	49.86	N	06/2009	Incumbent
21-1021.00	3.A.1	Related Work Experience	RW	7	20.32	29	10.55	6.28	49.22	N	06/2009	Incumbent
